"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"2211 3 AVENUE","Manhattan","1089662","111","Affordable Housing","","All jobs for this BIN are approved"
"225 WEST 28TH STREET","Manhattan","1090815","105","Affordable Housing","","All jobs for this BIN are approved"
"23 WEST 119 STREET","Manhattan","1053254","110","Affordable Housing","","All jobs for this BIN are approved"
"232 EAST 54TH STREET","Manhattan","1038564","106","Affordable Housing","","All jobs for this BIN are approved"
"235 CLINTON STREET","Manhattan","1090060","103","Affordable Housing","","All jobs for this BIN are approved"
"2351 ADAM CLAYTON POWELL BLVD","Manhattan","1090558","110","Affordable Housing","","All jobs for this BIN are approved"
"2395 8TH AVENUE","Manhattan","1090354","110","Affordable Housing","","All jobs for this BIN are approved"
"242 BROOME STREET","Manhattan","1089450","103","Affordable Housing","","All jobs for this BIN are approved"
"250 SOUTH STREET","Manhattan","1089771","103","Affordable Housing","","All jobs for this BIN are approved"
"267 W 126 STREET","Manhattan","1091580","110","Affordable Housing","","All jobs for this BIN are approved"
"2794 EIGHTH AVENUE","Manhattan","1060550","110","Affordable Housing","","All jobs for this BIN are approved"
"281 W 118 STREET","Manhattan","1058438","110","Affordable Housing","","All jobs for this BIN are approved"
"30 EAST 31ST STREET","Manhattan","1090512","105","Affordable Housing","","All jobs for this BIN are approved"
"30 WEST 132 STREET","MANHATTAN","1053860","110","Affordable Housing","","All jobs for this BIN are approved"
"302 EAST 2ND STREET","Manhattan","1091579","103","Affordable Housing","","All jobs for this BIN are approved"
"305 WEST 97TH STREET","Manhattan","1057068","107","Affordable Housing","","All jobs for this BIN are approved"
"314 WEST 127TH STREET","Manhattan","1085352","110","Affordable Housing","","All jobs for this BIN are approved"
"316 EAST 91ST STREET","Manhattan","1050195","108","Affordable Housing","","All jobs for this BIN are approved"
"359 W 47 STREET","Manhattan","1025122","104","Affordable Housing","","All jobs for this BIN are approved"
"39 WEST 23RD STREET","Manhattan","1091569","105","Affordable Housing","","All jobs for this BIN are approved"
"400 WEST 61 STREET","Manhattan","1089723","107","Affordable Housing","","All jobs for this BIN are approved"
"406 LENOX AVENUE","Manhattan","1053770","110","Affordable Housing","","All jobs for this BIN are approved"
"407 LENOX AVENUE","Manhattan","1090183","110","Affordable Housing","","All jobs for this BIN are approved"
"410 WEST 128TH STREET","Manhattan","1059392","109","Affordable Housing","","All jobs for this BIN are approved"
"424 LENOX AVENUE","Manhattan","1053825","110","Affordable Housing","","All jobs for this BIN are approved"
"426 LENOX AVENUE","Manhattan","1053826","110","Affordable Housing","","All jobs for this BIN are approved"
"432 LENOX AVENUE","Manhattan","1053884","110","Affordable Housing","","All jobs for this BIN are approved"
"435 EAST 13TH STREET","Manhattan","1090211","103","Affordable Housing","","All jobs for this BIN are approved"
"460 MAIN STREET","Manhattan","1088859","108","Affordable Housing","","All jobs for this BIN are approved"
"501 WEST 30TH STREET","Manhattan","1089411","104","Affordable Housing","","All jobs for this BIN are approved"
"511 EAST 86TH STREET","Manhattan","1051260","108","Affordable Housing","","All jobs for this BIN are approved"
"515 WEST 36TH STREET","Manhattan","1089736","104","Affordable Housing","","All jobs for this BIN are approved"
"518 WEST 161ST STREET","Manhattan","1062835","112","Affordable Housing","","All jobs for this BIN are approved"
"54 FULTON STREET","Manhattan","1090416","101","Affordable Housing","","All jobs for this BIN are approved"
"544 WEST 163RD STREET","Manhattan","1062944","112","Affordable Housing","","All jobs for this BIN are approved"
"555 WEST 38TH STREET","Manhattan","1806140","104","Affordable Housing","State Approved","All jobs for this BIN are approved"
"572 11TH AVE","Manhattan","1090460","104","Affordable Housing","","All jobs for this BIN are approved"
"60 EAST 112TH STREET","Manhattan","1090697","111","Affordable Housing","","All jobs for this BIN are approved"
"601 WEST 148 STREET","Manhattan","1062436","109","Affordable Housing","","All jobs for this BIN are approved"
"601 WEST 29TH STREET","Manhattan","1012272","104","Affordable Housing","","All jobs for this BIN are approved"
"609 WEST 158TH STREET","Manhattan","1063303","112","Affordable Housing","","All jobs for this BIN are approved"
"639 WEST 59TH STREET","Manhattan","1089374","107","Affordable Housing","","All jobs for this BIN are approved"
"847 ST NICHOLAS AVENUE","Manhattan","1090196","109","Affordable Housing","","All jobs for this BIN are approved"
"9 FORT WASHINGTON AVE","Manhattan","1063314","112","Affordable Housing","","All jobs for this BIN are approved"
"981 AMSTERDAM AVENUE","Manhattan","1055996","107","Affordable Housing","","All jobs for this BIN are approved"
"","QUEENS","4868330","","Affordable Housing","","All jobs for this BIN are approved"
"1-15 57 AVENUE","Queens","4619856","402","Affordable Housing","","All jobs for this BIN are approved"
"10 HALLETTS POINT","Queens","4617681","401","Affordable Housing","","All jobs for this BIN are approved"
"1018 BEACH 20TH STREET","Queens","4617912","414","Affordable Housing","","All jobs for this BIN are approved"
"1047 BEACH 21 STREET","Queens","4622929","414","Affordable Housing","","All jobs for this BIN are approved"
"108-40 HORACE HARDING EXPRESSWAY","QUEENS","4618620","406","Affordable Housing","","All jobs for this BIN are approved"
"108-60 HORACE HARDING EXPWY","Queens","4619474","406","Affordable Housing","","All jobs for this BIN are approved"
"108-75 62 DRIVE","Queens","4619735","4","Affordable Housing","","All jobs for this BIN are approved"
"11-12 30 DRIVE","QUEENS","4623158","401","Affordable Housing","","All jobs for this BIN are approved"
"11-28 30 DRIVE","QUEENS","4619107","401","Affordable Housing","","All jobs for this BIN are approved"
"11-37 31 AVENUE","QUEENS","4619106","401","Affordable Housing","","All jobs for this BIN are approved"
"115-29 MARSDEN STREET","Queens","4536224","412","Affordable Housing","","All jobs for this BIN are approved"
"126-30 LOCUST  MANOR LANE","Queens","4596156","412","Affordable Housing","","All jobs for this BIN are approved"
"1403 GATEWAY BLVD","Queens","4619442","414","Affordable Housing","","All jobs for this BIN are approved"
"147-07 94 AVENUE","QUEENS","4448835","412","Affordable Housing","","All jobs for this BIN are approved"
"147-22 ARCHER AVENUE","Queens","4607280","412","Affordable Housing","","All jobs for this BIN are approved"
"147-25 94 AVENUE","QUEENS","4618544","412","Affordable Housing","","All jobs for this BIN are approved"
"148-10 ARCHER AVENUE","Queens","4607281","412","Affordable Housing","","All jobs for this BIN are approved"
"148-29 90TH AVENUE","Queens","4618716","412","Affordable Housing","","All jobs for this BIN are approved"
"152-11 89 AVENUE","Queens","4438669","412","Affordable Housing","","All jobs for this BIN are approved"
"153-19 JAMAICA AVENUE","QUEENS","4208823","412","Affordable Housing","","All jobs for this BIN are approved"
"153-24 90 ROAD","Queens","4619413","412","Affordable Housing","","All jobs for this BIN are approved"
"161-01 89 AVENUE","Queens","4208989","412","Affordable Housing","","All jobs for this BIN are approved"
"161-11 132 AVENUE","Queens","4619700","412","Affordable Housing","","All jobs for this BIN are approved"
"19-15 NAMEOKE AVENUE","Queens","4618927","414","Affordable Housing","","All jobs for this BIN are approved"
"19-38 CORNAGA AVENUE","Queens","4617904","414","Affordable Housing","","All jobs for this BIN are approved"
"20-10 MOTT AVENUE","QUEENS","4297950","414","Affordable Housing","","All jobs for this BIN are approved"
"21-03 31 AVENUE","QUEENS","4618810","401","Affordable Housing","","All jobs for this BIN are approved"
"22-44 JACKSON AVENUE","Queens","4596913","402","Affordable Housing","","All jobs for this BIN are approved"
"28-16 21 STREET","QUEENS","4006073","401","Affordable Housing","","All jobs for this BIN are approved"
"28-16 21ST STREET","Queens","4617126","401","Affordable Housing","","All jobs for this BIN are approved"
"29-17 40 AVENUE","QUEENS","4623074","401","Affordable Housing","","All jobs for this BIN are approved"
"3-24 27TH AVENUE","Queens","4614896","401","Affordable Housing","","All jobs for this BIN are approved"
"43-46 39TH PLACE","Queens","4605192","402","Affordable Housing","","All jobs for this BIN are approved"
"43-46 51 STREET","Queens","4618650","402","Affordable Housing","","All jobs for this BIN are approved"
"4519 ROCKAWAY BEACH BOULEVARD","Queens","4617504","414","Affordable Housing","","All jobs for this BIN are approved"
"52-03 CENTER BOULEVARD","Queens","4618318","402","Affordable Housing","","All jobs for this BIN are approved"
"52-41 CENTER BOULEVARD","Queens","4617913","402","Affordable Housing","","All jobs for this BIN are approved"
"57-28 2ND STREET","Queens","4619857","402","Affordable Housing","","All jobs for this BIN are approved"
"62-11 108 STREET","Queens","4619475","406","Affordable Housing","","All jobs for this BIN are approved"
"6804 TIDES ROAD","Queens","4607872","414","Affordable Housing","","All jobs for this BIN are approved"
"82-41 PARSONS BLVD","Queens","4442434","408","Affordable Housing","","All jobs for this BIN are approved"
"89-46 164 STREET","Queens","4623027","412","Affordable Housing","","All jobs for this BIN are approved"
"89-50 164 STREET","Queens","4209584","412","Affordable Housing","","All jobs for this BIN are approved"
"92-23 168TH STREET","Queens","4617186","412","Affordable Housing","","All jobs for this BIN are approved"
"221 PORT RICHMOND AVENUE","Staten Island","5157667","501","Affordable Housing","","All jobs for this BIN are approved"
"700 BAY STREET","Staten Island","5089782","501","Affordable Housing","","All jobs for this BIN are approved"
"1 ORCHARD BEACH","BRONX","2831572","228","Approved Work","Electrical","X00340659"
"100 CARVER LOOP","BRONX","2096806","210","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","220724508"
"100 CASALS PLACE","BRONX","2096807","210","Approved Work","Electrical","X00334842"
"100 ERSKINE PLACE","BRONX","2093851","210","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","220637522"
"1001 EAST TREMONT AVENUE","BRONX","2101193","206","Approved Work","Electrical","X00330777"
"1001 UNION AVENUE","BRONX","2004842","203","Approved Work","Essential Facility; Affordable Housing","220607047"
"1007 UNION AVENUE","BRONX","2004862","203","Approved Work","Essential Facility; Affordable Housing","220152689"
"101 LINCOLN AVENUE","Bronx","2000759","201","Approved Work","Essential Facility; Affordable Housing","220725712"
"1019 TRINITY AVENUE","BRONX","2004522","203","Approved Work","LAA","X00340392"
"1020 GRAND CONCOURSE","BRONX","2002823","204","Approved Work","Emergency Construction; Electrical","240248969; X00340637"
"1027 REV JAMES A POLITE AVENUE","Bronx","2005247","202","Approved Work","Essential Facility; Affordable Housing","220637041"
"1035 HALL PLACE","Bronx","2005270","202","Approved Work","Essential Facility; Affordable Housing","240256030"
"1041 FINDLAY AVE","Bronx","2002219","204","Approved Work","Essential Facility","240259590"
"105 WEST 168 STREET","Bronx","2003313","204","Approved Work","Essential Facility; Affordable Housing","240200377"
"1050 WESTCHESTER AVENUE","Bronx","2006022","202","Approved Work","Essential Facility","220615760; 220638273"
"1055 BRONX RIVER AVE","Bronx","2023321","209","Approved Work","Essential Facility","220727952"
"1055 FINDLAY AVE","Bronx","2002218","204","Approved Work","Essential Facility","240257949"
"1056 BOYNTON AVENUE","Bronx","2023487","209","Approved Work","Essential Facility","240224093"
"1075 LONGFELLOW AVENUE","BRONX","2006279","202","Approved Work","LAA","X00340590"
"1076 FAILE STREET","BRONX","2006147","202","Approved Work","LAA","X00340548"
"1080 LEGGETT AVENUE","BRONX","2004156","202","Approved Work","Essential Facility","X00239233"
"1081 TIFFANY STREET","Bronx","2128501","202","Approved Work","Essential Facility; Affordable Housing","220555851"
"1082 WOODYCREST AVENUE","Bronx","2128675","204","Approved Work","Essential Facility; Affordable Housing","220589227"
"1083 LONGFELLOW AVENUE","BRONX","2006278","202","Approved Work","LAA","X00340581"
"1084 OGDEN AVENUE","Bronx","2820378","204","Approved Work","Essential Facility; Affordable Housing","220514931; 220514940; 220514959"
"109 BRUCKNER BLVD","Bronx","2128915","201","Approved Work","Essential Facility; Affordable Housing","220606137"
"1090 CLOSE AVENUE","Bronx","2120984","209","Approved Work","Essential Facility; Affordable Housing","220332370"
"1101 MANOR AVENUE","Bronx","2023922","209","Approved Work","Essential Facility","220152224; 240204961"
"1105 BOYNTON AVENUE","BRONX","2023839","209","Approved Work","Electrical","X00346939"
"1107 FRANKLIN AVENUE","BRONX","2004201","203","Approved Work","Essential Facility","220681126"
"1109 CLAY AVE","Bronx","2002150","204","Approved Work","Essential Facility; Affordable Housing","220659598"
"111 EAST 183 STREET","Bronx","2013898","205","Approved Work","Essential Facility; Affordable Housing","220524127"
"111 W 183RD STREET","Bronx","2014913","207","Approved Work","Emergency Construction","240256281"
"1118 HAVEMEYER AVENUE","Bronx","2128973","209","Approved Work","Essential Facility; Affordable Housing","210177654"
"1120 SHERMAN AVENUE","Bronx","2124760","204","Approved Work","Single Worker Limit","201061288"
"1122 SOUTHERN BLVD","Bronx","2128906","203","Approved Work","Essential Facility","220539594"
"1124 FOX STREET","BRONX","2005718","203","Approved Work","LAA","X00325654"
"1133 BOSTON ROAD","BRONX","2004268","203","Approved Work","LAA","X00339412"
"1133 FTELEY AVENUE","BRONX","2024048","209","Approved Work","Electrical","X00341154"
"1137 EAST  213 STREET","Bronx","2059828","212","Approved Work","Single Worker Limit","200790144; X00277479"
"1140 TIFFANY STREET","BRONX","2117646","202","Approved Work","Electrical","X00334827"
"1141 TIFFANY STREET","Bronx","2005503","202","Approved Work","Essential Facility; Affordable Housing","240256049"
"1144 EVERGREEN AVENUE","Bronx","2127944","209","Approved Work","Essential Facility; Electrical","220524207; X00344126"
"1149 TIFFANY STREET","Bronx","2005501","202","Approved Work","Essential Facility; Affordable Housing","240256058"
